Money(raw),Sum,Total Funding in GBP,Funding in GBP,Funding in EUR,Funding in USD,Currencies,Economic Benefit,SpinOff,KTP,Countries,Collaborations,Merge,Acquisition,IndustrialUse,AcademicUse,GovUse,PublicUse,Open Source,Policy Influence,Standard,Public Well Being,Public Service Delivery,Improved accessibility,Improved Workforce,Economic impacts,Changed public attitudes,Solutions to societal problems,Improved Env. Sustainability,Improved regulatory environment,Public Engagement,Patent,Award,Clinical Trial,People Affected,ref 1,ref 2,ref 3,ref 4,ref 5,ref 6,ref7,Reference Cite,r1,r2,r3,r4,r5,r6,Citation_2014,CitationChange,StartYears,Duration,ImpactType Cultural,ImpactType Economic,ImpactType Environmental,ImpactType Health,ImpactType Legal,ImpactType Political,ImpactType Societal,ImpactType Technological,Uni_Outputs,Funders,NumOfCases,Research Income,Degree,FTE,2008GPA,Percentageof4(Overall),GPA(Overall),ResearchPower(Overall),Percentageof4(Output),GPA(Output),Percentageof4(Impact),GPA(Impact),Score,Score_4,Score_9,Score_9s,Discrete Variance
18978079,4467399,1817399,1817399,0,0,1,2650000,2,1,,5,0,0,30,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,22000,248,75,919,439,376,26,176,2259,0,0,0,0,0,0,0,2259,2007,7,0,0,0,0,0,0,1,0,40,1,2,3712589,20,13,2.05,5,2.44,32,5,2.3,10,3.1,3.1,3,3,6,0.09
7509500,75550284,455284,0,560000,0,1,75095000,0,0,,2,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,18500,35,9,34,8,17,34,251,388,0,0,0,0,0,0,0,388,2008,6,0,0,0,0,0,0,0,1,40,1,2,3712589,20,13,2.05,5,2.44,32,5,2.3,10,3.1,3.1,3,3,6,0.09
931388,931098,631098,631098,0,0,1,300000,0,0,,1,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,57,63,0,0,0,0,133,0,0,0,0,0,0,0,133,2001,13,0,0,0,0,0,0,0,1,50,1,2,2105015,24,14.8,0,23,2.71,40,10,2.52,80,3.8,3.8,4,4,8,0.16
8853321,2456321,456321,456321,0,0,1,2000000,0,0,,1,0,0,40,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,10,0,0,7,1,23,73,19,24,0,147,0,0,0,0,0,0,0,147,2001,13,0,0,0,0,0,0,0,1,50,1,2,2105015,24,14.8,0,23,2.71,40,10,2.52,80,3.8,3.8,4,4,8,0.16
1000000,1000000,0,0,0,0,0,1000000,0,0,,2,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,145,36,19,11,98,0,381,0,0,0,0,0,0,0,381,1998,16,0,0,0,0,0,0,0,1,179,0,5,37447909,178.85,44.86,3.15,48,3.42,153,29,3.19,76,3.76,3.76,4,4,8,0.18
0,0,0,0,0,0,0,0,0,0,,0,0,0,27,1,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,669,197,595,452,1017,770,0,3700,0,0,0,0,0,0,0,3700,1998,16,0,0,0,0,0,0,0,1,179,0,5,37447909,178.85,44.86,3.15,48,3.42,153,29,3.19,76,3.76,3.76,4,4,8,0.18
215314000,0,0,0,0,0,0,19200000,2,0,,0,0,1,400,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28,18,21,4,17,3,0,91,0,0,0,0,0,0,0,91,1993,21,0,1,0,0,0,0,0,0,179,0,5,37447909,178.85,44.86,3.15,48,3.42,153,29,3.19,76,3.76,3.76,4,4,8,0.18
24,0,0,0,0,0,0,0,1,0,,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,14000000,15,16,36,0,0,0,0,67,0,0,0,0,0,28,28,39,1995,19,0,0,0,0,0,0,0,1,179,0,5,37447909,178.85,44.86,3.15,48,3.42,153,29,3.19,76,3.76,3.76,4,4,8,0.18
8000000,20000000,0,0,0,0,0,20000000,3,0,,0,0,1,6,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,9265,3623,101,92,74,50,0,13205,0,0,0,0,0,0,0,13205,1993,21,0,0,0,0,0,0,0,1,179,1,5,37447909,178.85,44.86,3.15,48,3.42,153,29,3.19,76,3.76,3.76,4,4,8,0.18
28645000,46655081,46655081,38525000,10000000,0,2,0,0,0,,7,0,0,7,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,3,0,0,2,350,441,274,182,323,0,1572,0,0,0,0,0,0,0,1572,2003,11,1,0,0,0,0,0,0,0,153,3,2,19538000,118.27,42.85,3.1,37,3.24,139,22,3.02,48,3.48,3.48,3,3.5,7,0.25
22098938,22098938,22098938,22098938,0,0,1,0,0,0,,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,77,72,70,182,27,274,0,702,0,0,0,0,0,0,0,702,2006,8,1,0,0,0,0,0,0,0,153,2,2,19538000,118.27,42.85,3.1,37,3.24,139,22,3.02,48,3.48,3.48,3,3.5,7,0.25
2000000,3626016,3626016,2000000,2000000,0,2,0,0,0,,3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,734,278,268,600,143,1434,0,3457,0,0,0,0,0,0,0,3457,2004,10,0,0,0,1,0,0,0,0,261,1,8,46272000,143.9,70.7,3.15,61,3.57,252,49,3.43,80,3.8,3.8,4,4,8,0.16
5000000,5000000,5000000,5000000,0,0,1,0,0,0,,1,0,0,15,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1941,181,57,81,265,82,55,0,721,0,0,0,0,0,0,0,721,2007,7,0,0,0,1,0,0,0,0,261,3,8,46272000,143.9,70.7,3.15,61,3.57,252,49,3.43,80,3.8,3.8,4,4,8,0.16
3000000,3000000,0,0,0,0,0,3000000,1,0,,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,280,182,240,63,11,2,0,778,0,0,0,0,0,0,0,778,1998,16,0,1,0,0,0,0,0,0,261,0,8,46272000,143.9,70.7,3.15,61,3.57,252,49,3.43,80,3.8,3.8,4,4,8,0.16
